ages,male,female
0 - 4세,0.041063164,0.038068117
5 - 9세,0.04324256,0.039620169
10 - 14세,0.045579829,0.041429474
15 - 19세,0.046423133,0.042117109
20 - 24세,0.046921007,0.042484077
25 - 29세,0.044943348,0.040784763
30 - 34세,0.04228621,0.039059069
35 - 39세,0.039361596,0.03659114
40 - 44세,0.034884323,0.032590695
45 - 49세,0.030514338,0.028937967
50 - 54세,0.026431018,0.025416627
55 - 59세,0.02228911,0.021771015
60 - 64세,0.018221183,0.018247859
65 - 69세,0.014129122,0.014540345
70 - 74세,0.009752015,0.010350395
75 - 79세,0.005259589,0.006156424
80 - 84세,0.001199657,0.001718395
85 - 89세,0.000390834,0.000585591
90 - 94세,8.80887E-05,0.000132437
95 - 99세,1.17161E-05,1.84163E-05
