시도별,성별,연령별,시점,추계인구
서울특별시,계,계,1970,5685932
서울특별시,계,계,1971,5940442
서울특별시,계,계,1972,6206625
서울특별시,계,계,1973,6470497
서울특별시,계,계,1974,6737832
서울특별시,계,계,1975,7005007
서울특별시,계,계,1976,7300852
서울특별시,계,계,1977,7598734
서울특별시,계,계,1978,7900077
서울특별시,계,계,1979,8205097
서울특별시,계,계,1980,8516450
서울특별시,계,계,1981,8795571
서울특별시,계,계,1982,9058650
서울특별시,계,계,1983,9317088
서울특별시,계,계,1984,9558806
서울특별시,계,계,1985,9725447
서울특별시,계,계,1986,9815245
서울특별시,계,계,1987,9931649
서울특별시,계,계,1988,10147107
서울특별시,계,계,1989,10379344
서울특별시,계,계,1990,10473252
서울특별시,계,계,1991,10461122
서울특별시,계,계,1992,10445852
서울특별시,계,계,1993,10420119
서울특별시,계,계,1994,10385314
서울특별시,계,계,1995,10342224
서울특별시,계,계,1996,10195359
서울특별시,계,계,1997,10115549
서울특별시,계,계,1998,10051237
서울특별시,계,계,1999,10035810
서울특별시,계,계,2000,10078434
서울특별시,계,계,2001,10091137
서울특별시,계,계,2002,10049183
서울특별시,계,계,2003,10041419
서울특별시,계,계,2004,10051611
서울특별시,계,계,2005,10028631
서울특별시,계,계,2006,10057373
서울특별시,계,계,2007,10068563
서울특별시,계,계,2008,10111880
서울특별시,계,계,2009,10138867
서울특별시,계,계,2010,10088611
서울특별시,계,계,2011,10072235
서울특별시,계,계,2012,10036273
서울특별시,계,계,2013,9990010
서울특별시,계,계,2014,9975163
서울특별시,계,계,2015,9941162
서울특별시,계,계,2016,9842501
서울특별시,계,계,2017,9766399
서울특별시,계,계,2018,9697449
서울특별시,계,계,2019,9657296
서울특별시,계,계,2020,9617795
서울특별시,계,계,2021,9501528
서울특별시,계,계,2022,9411443
서울특별시,계,계,2023,9338274
서울특별시,계,계,2024,9271433
서울특별시,계,계,2025,9209988
서울특별시,계,계,2026,9152114
서울특별시,계,계,2027,9097319
서울특별시,계,계,2028,9045157
서울특별시,계,계,2029,8995198
서울특별시,계,계,2030,8947637
서울특별시,계,계,2031,8902547
서울특별시,계,계,2032,8859965
서울특별시,계,계,2033,8819700
서울특별시,계,계,2034,8781584
서울특별시,계,계,2035,8745343
서울특별시,계,계,2036,8708832
서울특별시,계,계,2037,8670167
서울특별시,계,계,2038,8629263
서울특별시,계,계,2039,8585891
서울특별시,계,계,2040,8539824
서울특별시,계,계,2041,8490967
서울특별시,계,계,2042,8439075
서울특별시,계,계,2043,8383996
서울특별시,계,계,2044,8325708
서울특별시,계,계,2045,8264297
서울특별시,계,계,2046,8200122
서울특별시,계,계,2047,8133266
서울특별시,계,계,2048,8063976
서울특별시,계,계,2049,7992431
서울특별시,계,계,2050,7918861
서울특별시,계,0 - 4세,1970,719707
서울특별시,계,0 - 4세,1971,762310
서울특별시,계,0 - 4세,1972,803686
서울특별시,계,0 - 4세,1973,839779
서울특별시,계,0 - 4세,1974,871687
서울특별시,계,0 - 4세,1975,876337
서울특별시,계,0 - 4세,1976,867290
서울특별시,계,0 - 4세,1977,856794
서울특별시,계,0 - 4세,1978,852738
서울특별시,계,0 - 4세,1979,854069
서울특별시,계,0 - 4세,1980,873485
서울특별시,계,0 - 4세,1981,893992
서울특별시,계,0 - 4세,1982,911335
서울특별시,계,0 - 4세,1983,921394
서울특별시,계,0 - 4세,1984,905439
서울특별시,계,0 - 4세,1985,870083
서울특별시,계,0 - 4세,1986,834322
서울특별시,계,0 - 4세,1987,796728
서울특별시,계,0 - 4세,1988,778972
서울특별시,계,0 - 4세,1989,781262
서울특별시,계,0 - 4세,1990,766688
서울특별시,계,0 - 4세,1991,757358
서울특별시,계,0 - 4세,1992,757060
서울특별시,계,0 - 4세,1993,758001
서울특별시,계,0 - 4세,1994,756470
서울특별시,계,0 - 4세,1995,750293
서울특별시,계,0 - 4세,1996,727745
서울특별시,계,0 - 4세,1997,701033
서울특별시,계,0 - 4세,1998,670936
서울특별시,계,0 - 4세,1999,641281
서울특별시,계,0 - 4세,2000,612869
서울특별시,계,0 - 4세,2001,588684
서울특별시,계,0 - 4세,2002,549504
서울특별시,계,0 - 4세,2003,516898
서울특별시,계,0 - 4세,2004,497161
서울특별시,계,0 - 4세,2005,467495
서울특별시,계,0 - 4세,2006,438940
서울특별시,계,0 - 4세,2007,426503
서울특별시,계,0 - 4세,2008,426179
서울특별시,계,0 - 4세,2009,420382
서울특별시,계,0 - 4세,2010,411483
서울특별시,계,0 - 4세,2011,414572
서울특별시,계,0 - 4세,2012,414730
서울특별시,계,0 - 4세,2013,407801
서울특별시,계,0 - 4세,2014,403095
서울특별시,계,0 - 4세,2015,399954
서울특별시,계,0 - 4세,2016,385474
서울특별시,계,0 - 4세,2017,364416
서울특별시,계,0 - 4세,2018,337490
서울특별시,계,0 - 4세,2019,315996
서울특별시,계,0 - 4세,2020,289085
서울특별시,계,0 - 4세,2021,258523
서울특별시,계,0 - 4세,2022,233066
서울특별시,계,0 - 4세,2023,211978
서울특별시,계,0 - 4세,2024,194295
서울특별시,계,0 - 4세,2025,183670
서울특별시,계,0 - 4세,2026,180529
서울특별시,계,0 - 4세,2027,182900
서울특별시,계,0 - 4세,2028,190725
서울특별시,계,0 - 4세,2029,202266
서울특별시,계,0 - 4세,2030,215173
서울특별시,계,0 - 4세,2031,227317
서울특별시,계,0 - 4세,2032,238601
서울특별시,계,0 - 4세,2033,248769
서울특별시,계,0 - 4세,2034,257678
서울특별시,계,0 - 4세,2035,265298
서울특별시,계,0 - 4세,2036,270318
서울특별시,계,0 - 4세,2037,271706
서울특별시,계,0 - 4세,2038,269996
서울특별시,계,0 - 4세,2039,265761
서울특별시,계,0 - 4세,2040,259534
서울특별시,계,0 - 4세,2041,253010
서울특별시,계,0 - 4세,2042,247534
서울특별시,계,0 - 4세,2043,243055
서울특별시,계,0 - 4세,2044,239501
서울특별시,계,0 - 4세,2045,236632
서울특별시,계,0 - 4세,2046,234100
서울특별시,계,0 - 4세,2047,231520
서울특별시,계,0 - 4세,2048,228515
서울특별시,계,0 - 4세,2049,224801
서울특별시,계,0 - 4세,2050,220189
서울특별시,계,5 - 9세,1970,649997
서울특별시,계,5 - 9세,1971,660718
서울특별시,계,5 - 9세,1972,676520
서울특별시,계,5 - 9세,1973,695785
서울특별시,계,5 - 9세,1974,723721
서울특별시,계,5 - 9세,1975,760180
서울특별시,계,5 - 9세,1976,805807
서울특별시,계,5 - 9세,1977,854477
서울특별시,계,5 - 9세,1978,893868
서울특별시,계,5 - 9세,1979,922252
서울특별시,계,5 - 9세,1980,932580
서울특별시,계,5 - 9세,1981,917596
서울특별시,계,5 - 9세,1982,898315
서울특별시,계,5 - 9세,1983,885788
서울특별시,계,5 - 9세,1984,882695
서울특별시,계,5 - 9세,1985,883756
서울특별시,계,5 - 9세,1986,895959
서울특별시,계,5 - 9세,1987,914224
서울특별시,계,5 - 9세,1988,932714
서울특별시,계,5 - 9세,1989,926121
서울특별시,계,5 - 9세,1990,885339
서울특별시,계,5 - 9세,1991,821917
서울특별시,계,5 - 9세,1992,758643
서울특별시,계,5 - 9세,1993,706278
서울특별시,계,5 - 9세,1994,669803
서울특별시,계,5 - 9세,1995,646976
서울특별시,계,5 - 9세,1996,631173
서울특별시,계,5 - 9세,1997,631428
서울특별시,계,5 - 9세,1998,636820
서울특별시,계,5 - 9세,1999,643728
서울특별시,계,5 - 9세,2000,647952
서울특별시,계,5 - 9세,2001,642981
서울특별시,계,5 - 9세,2002,626250
서울특별시,계,5 - 9세,2003,604281
서울특별시,계,5 - 9세,2004,582567
서울특별시,계,5 - 9세,2005,563047
서울특별시,계,5 - 9세,2006,544079
서울특별시,계,5 - 9세,2007,515104
서울특별시,계,5 - 9세,2008,486013
서울특별시,계,5 - 9세,2009,465478
서울특별시,계,5 - 9세,2010,434362
서울특별시,계,5 - 9세,2011,404224
서울특별시,계,5 - 9세,2012,391008
서울특별시,계,5 - 9세,2013,387065
서울특별시,계,5 - 9세,2014,377276
서울특별시,계,5 - 9세,2015,372352
서울특별시,계,5 - 9세,2016,372572
서울특별시,계,5 - 9세,2017,366297
서울특별시,계,5 - 9세,2018,355349
서울특별시,계,5 - 9세,2019,348407
서울특별시,계,5 - 9세,2020,346887
서울특별시,계,5 - 9세,2021,335174
서울특별시,계,5 - 9세,2022,318943
서울특별시,계,5 - 9세,2023,297627
서울특별시,계,5 - 9세,2024,278318
서울특별시,계,5 - 9세,2025,253815
서울특별시,계,5 - 9세,2026,227795
서울특별시,계,5 - 9세,2027,207069
서울특별시,계,5 - 9세,2028,190145
서울특별시,계,5 - 9세,2029,175830
서울특별시,계,5 - 9세,2030,166961
서울특별시,계,5 - 9세,2031,164414
서울특별시,계,5 - 9세,2032,166406
서울특별시,계,5 - 9세,2033,173159
서울특별시,계,5 - 9세,2034,183164
서울특별시,계,5 - 9세,2035,194370
서울특별시,계,5 - 9세,2036,204847
서울특별시,계,5 - 9세,2037,214561
서울특별시,계,5 - 9세,2038,223276
서울특별시,계,5 - 9세,2039,230870
서울특별시,계,5 - 9세,2040,237326
서울특별시,계,5 - 9세,2041,241494
서울특별시,계,5 - 9세,2042,242563
서울특별시,계,5 - 9세,2043,241032
서울특별시,계,5 - 9세,2044,237324
서울특별시,계,5 - 9세,2045,231854
서울특별시,계,5 - 9세,2046,226148
서울특별시,계,5 - 9세,2047,221377
서울특별시,계,5 - 9세,2048,217455
서울특별시,계,5 - 9세,2049,214329
서울특별시,계,5 - 9세,2050,211795
서울특별시,계,10 - 14세,1970,691575
서울특별시,계,10 - 14세,1971,715415
서울특별시,계,10 - 14세,1972,742487
서울특별시,계,10 - 14세,1973,755619
서울특별시,계,10 - 14세,1974,756381
서울특별시,계,10 - 14세,1975,753535
서울특별시,계,10 - 14세,1976,766154
서울특별시,계,10 - 14세,1977,779161
서울특별시,계,10 - 14세,1978,795057
서울특별시,계,10 - 14세,1979,823664
서울특별시,계,10 - 14세,1980,862329
서울특별시,계,10 - 14세,1981,907348
서울특별시,계,10 - 14세,1982,951933
서울특별시,계,10 - 14세,1983,986429
서울특별시,계,10 - 14세,1984,1010246
서울특별시,계,10 - 14세,1985,1014657
서울특별시,계,10 - 14세,1986,987300
서울특별시,계,10 - 14세,1987,959793
서울특별시,계,10 - 14세,1988,942785
서울특별시,계,10 - 14세,1989,939812
서울특별시,계,10 - 14세,1990,936266
서울특별시,계,10 - 14세,1991,933242
서울특별시,계,10 - 14세,1992,931370
서울특별시,계,10 - 14세,1993,918255
서울특별시,계,10 - 14세,1994,884557
서울특별시,계,10 - 14세,1995,832689
서울특별시,계,10 - 14세,1996,771224
서울특별시,계,10 - 14세,1997,706970
서울특별시,계,10 - 14세,1998,657394
서울특별시,계,10 - 14세,1999,624226
서울특별시,계,10 - 14세,2000,608748
서울특별시,계,10 - 14세,2001,606688
서울특별시,계,10 - 14세,2002,611439
서울특별시,계,10 - 14세,2003,620572
서울특별시,계,10 - 14세,2004,630645
서울특별시,계,10 - 14세,2005,633761
서울특별시,계,10 - 14세,2006,629176
서울특별시,계,10 - 14세,2007,613077
서울특별시,계,10 - 14세,2008,593898
서울특별시,계,10 - 14세,2009,575019
서울특별시,계,10 - 14세,2010,556778
서울특별시,계,10 - 14세,2011,535554
서울특별시,계,10 - 14세,2012,504620
서울특별시,계,10 - 14세,2013,472430
서울특별시,계,10 - 14세,2014,447516
서울특별시,계,10 - 14세,2015,416545
서울특별시,계,10 - 14세,2016,386116
서울특별시,계,10 - 14세,2017,371404
서울특별시,계,10 - 14세,2018,365684
서울특별시,계,10 - 14세,2019,355343
서울특별시,계,10 - 14세,2020,352626
서울특별시,계,10 - 14세,2021,352442
서울특별시,계,10 - 14세,2022,348179
서울특별시,계,10 - 14세,2023,340206
서울특별시,계,10 - 14세,2024,333699
서울특별시,계,10 - 14세,2025,330207
서울특별시,계,10 - 14세,2026,321088
서울특별시,계,10 - 14세,2027,306625
서울특별시,계,10 - 14세,2028,287447
서울특별시,계,10 - 14세,2029,270009
서울특별시,계,10 - 14세,2030,246980
서울특별시,계,10 - 14세,2031,222423
서울특별시,계,10 - 14세,2032,202949
서울특별시,계,10 - 14세,2033,186985
서울특별시,계,10 - 14세,2034,173449
서울특별시,계,10 - 14세,2035,165060
서울특별시,계,10 - 14세,2036,162580
서울특별시,계,10 - 14세,2037,164301
서울특별시,계,10 - 14세,2038,170574
서울특별시,계,10 - 14세,2039,179991
서울특별시,계,10 - 14세,2040,190608
서울특별시,계,10 - 14세,2041,200527
서울특별시,계,10 - 14세,2042,209712
서울특별시,계,10 - 14세,2043,217926
서울특별시,계,10 - 14세,2044,225061
서울특별시,계,10 - 14세,2045,231107
서울특별시,계,10 - 14세,2046,234972
서울특별시,계,10 - 14세,2047,235933
서울특별시,계,10 - 14세,2048,234473
서울특별시,계,10 - 14세,2049,230930
서울특별시,계,10 - 14세,2050,225690
서울특별시,계,15 - 19세,1970,716526
서울특별시,계,15 - 19세,1971,769865
서울특별시,계,15 - 19세,1972,821829
서울특별시,계,15 - 19세,1973,876895
서울특별시,계,15 - 19세,1974,927047
서울특별시,계,15 - 19세,1975,965020
서울특별시,계,15 - 19세,1976,993462
서울특별시,계,15 - 19세,1977,1015147
서울특별시,계,15 - 19세,1978,1028830
서울특별시,계,15 - 19세,1979,1025760
서울특별시,계,15 - 19세,1980,1010907
서울특별시,계,15 - 19세,1981,1000442
