year,newborn
1970,1006645
1971,1024773
1972,952780
1973,965521
1974,922823
1975,874030
1976,796331
1977,825339
1978,750728
1979,862669
1980,862835
1981,867409
1982,848312
1983,769155
1984,674793
1985,655489
1986,636019
1987,623831
1988,633092
1989,639431
1990,649738
1991,709275
1992,730678
1993,715826
1994,721185
1995,715020
1996,691226
1997,675394
1998,641594
1999,620668
2000,640089
2001,559934
2002,496911
2003,495036
2004,476958
2005,438707
2006,451759
2007,496822
2008,465892
2009,444849
2010,470171
2011,471265
2012,484550
2013,436455
2014,435435
2015,438420
2016,406243
2017,357771
2018,326822
2019,302676
2020,272337
2021,260562
2022,249186
2023,230000
