"year","name",value
"2000","서울특별시",133154
"2000","부산광역시",41222
"2000","대구광역시",32477
"2000","인천광역시",34433
"2000","광주광역시",21148
"2000","대전광역시",19570
"2000","울산광역시",15816
"2000","세종특별자치시",-
"2000","경기도",141704
"2000","강원특별자치도",19482
"2000","충청북도",19628
"2000","충청남도",24733
"2000","전라북도",25173
"2000","전라남도",26046
"2000","경상북도",35190
"2000","경상남도",41680
"2000","제주특별자치도",8633
"2001","서울특별시",114764
"2001","부산광역시",35848
"2001","대구광역시",28111
"2001","인천광역시",30494
"2001","광주광역시",18198
"2001","대전광역시",17290
"2001","울산광역시",13600
"2001","세종특별자치시",-
"2001","경기도",126264
"2001","강원특별자치도",16873
"2001","충청북도",17322
"2001","충청남도",21962
"2001","전라북도",22192
"2001","전라남도",22588
"2001","경상북도",30500
"2001","경상남도",36475
"2001","제주특별자치도",7453
"2002","서울특별시",102008
"2002","부산광역시",30767
"2002","대구광역시",24260
"2002","인천광역시",26775
"2002","광주광역시",16036
"2002","대전광역시",15631
"2002","울산광역시",11666
"2002","세종특별자치시",-
"2002","경기도",116854
"2002","강원특별자치도",15314
"2002","충청북도",15329
"2002","충청남도",19059
"2002","전라북도",19215
"2002","전라남도",19242
"2002","경상북도",26022
"2002","경상남도",32203
"2002","제주특별자치도",6530
"2003","서울특별시",101227
"2003","부산광역시",30117
"2003","대구광역시",24513
"2003","인천광역시",26832
"2003","광주광역시",15954
"2003","대전광역시",15712
"2003","울산광역시",11720
"2003","세종특별자치시",-
"2003","경기도",120433
"2003","강원특별자치도",14349
"2003","충청북도",14650
"2003","충청남도",18627
"2003","전라북도",18437
"2003","전라남도",18333
"2003","경상북도",25447
"2003","경상남도",32102
"2003","제주특별자치도",6583
"2004","서울특별시",99828
"2004","부산광역시",28231
"2004","대구광역시",23259
"2004","인천광역시",25092
"2004","광주광역시",14729
"2004","대전광역시",15024
"2004","울산광역시",11151
"2004","세종특별자치시",-
"2004","경기도",117812
"2004","강원특별자치도",13776
"2004","충청북도",14331
"2004","충청남도",18640
"2004","전라북도",17257
"2004","전라남도",17256
"2004","경상북도",23553
"2004","경상남도",30922
"2004","제주특별자치도",6097
"2005","서울특별시",90468
"2005","부산광역시",25681
"2005","대구광역시",20804
"2005","인천광역시",23026
"2005","광주광역시",13327
"2005","대전광역시",13950
"2005","울산광역시",10469
"2005","세종특별자치시",-
"2005","경기도",109533
"2005","강원특별자치도",12657
"2005","충청북도",13164
"2005","충청남도",17521
"2005","전라북도",15745
"2005","전라남도",15818
"2005","경상북도",22339
"2005","경상남도",28471
"2005","제주특별자치도",5734
"2006","서울특별시",93922
"2006","부산광역시",25881
"2006","대구광역시",20360
"2006","인천광역시",23711
"2006","광주광역시",13679
"2006","대전광역시",14489
"2006","울산광역시",10740
"2006","세종특별자치시",-
"2006","경기도",115111
"2006","강원특별자치도",12455
"2006","충청북도",13366
"2006","충청남도",18625
"2006","전라북도",15571
"2006","전라남도",15905
"2006","경상북도",22567
"2006","경상남도",29524
"2006","제주특별자치도",5853
"2007","서울특별시",101249
"2007","부산광역시",28426
"2007","대구광역시",22295
"2007","인천광역시",26712
"2007","광주광역시",14810
"2007","대전광역시",15780
"2007","울산광역시",11955
"2007","세종특별자치시",-
"2007","경기도",126648
"2007","강원특별자치도",13690
"2007","충청북도",15002
"2007","충청남도",20630
"2007","전라북도",17228
"2007","전라남도",17844
"2007","경상북도",25062
"2007","경상남도",33313
"2007","제주특별자치도",6178
"2008","서울특별시",94736
"2008","부산광역시",26670
"2008","대구광역시",20562
"2008","인천광역시",25365
"2008","광주광역시",13890
"2008","대전광역시",14856
"2008","울산광역시",11365
"2008","세종특별자치시",-
"2008","경기도",119397
"2008","강원특별자치도",12373
"2008","충청북도",14064
"2008","충청남도",19749
"2008","전라북도",15878
"2008","전라남도",16363
"2008","경상북도",23538
"2008","경상남도",31493
"2008","제주특별자치도",5593
"2009","서울특별시",89594
"2009","부산광역시",25110
"2009","대구광역시",19399
"2009","인천광역시",24379
"2009","광주광역시",13101
"2009","대전광역시",13915
"2009","울산광역시",11033
"2009","세종특별자치시",-
"2009","경기도",113692
"2009","강원특별자치도",12112
"2009","충청북도",13903
"2009","충청남도",19257
"2009","전라북도",15233
"2009","전라남도",15995
"2009","경상북도",22373
"2009","경상남도",30320
"2009","제주특별자치도",5433
"2010","서울특별시",93266
"2010","부산광역시",27415
"2010","대구광역시",20557
"2010","인천광역시",25752
"2010","광주광역시",13979
"2010","대전광역시",14314
"2010","울산광역시",11432
"2010","세종특별자치시",-
"2010","경기도",121753
"2010","강원특별자치도",12477
"2010","충청북도",14670
"2010","충청남도",20242
"2010","전라북도",16100
"2010","전라남도",16654
"2010","경상북도",23700
"2010","경상남도",32203
"2010","제주특별자치도",5657
"2011","서울특별시",91526
"2011","부산광역시",27759
"2011","대구광역시",20758
"2011","인천광역시",26118
"2011","광주광역시",13916
"2011","대전광역시",14808
"2011","울산광역시",11542
"2011","세종특별자치시",-
"2011","경기도",122027
"2011","강원특별자치도",12408
"2011","충청북도",14804
"2011","충청남도",20398
"2011","전라북도",16175
"2011","전라남도",16612
"2011","경상북도",24250
"2011","경상남도",32536
"2011","제주특별자치도",5628
"2012","서울특별시",93914
"2012","부산광역시",28673
"2012","대구광역시",21472
"2012","인천광역시",27781
"2012","광주광역시",14392
"2012","대전광역시",15279
"2012","울산광역시",12160
"2012","세종특별자치시",1054
"2012","경기도",124746
"2012","강원특별자치도",12426
"2012","충청북도",15139
